taxsuborder,pct,predicted_suborder
Xerolls,93,Xeralfs
Aquerts,1196,Aquolls
Aquerts,1196,Aquerts
Aquerts,1196,Aquolls
Aquerts,1196,Aquerts
Aquerts,1196,Aquents
Aquerts,1196,Aquerts
Aquerts,1196,Aquerts
Aquerts,1196,Aquerts
Aquerts,1196,Xererts
Aquerts,1196,Xererts
Aquerts,1196,Aquerts
Aquerts,1196,Aquerts
Aquerts,1196,Xeralfs
Xererts,82,Xeralfs
Aquerts,184,Aquerts
Aquerts,184,Aquolls
Xererts,291,Aquerts
Xererts,291,Aquerts
Xererts,291,Xeralfs
Xerolls,94,Xerults
Aquerts,276,Aquolls
Aquerts,276,Aquolls
Aquerts,276,Aquerts
Xererts,97,Xeralfs
Aquerts,92,Aquerts
Xeralfs,85,Xeralfs
Aquolls,88,Aquerts
Xeralfs,90,Xeralfs
Xererts,96,Aquolls
Xerolls,99,Aquolls
Xeralfs,91,Xeralfs
Aquerts,276,Aquents
Aquerts,276,Aquerts
Aquerts,276,Aquolls
Xerolls,85,Xerolls
Ochrepts,32,Xerolls
Xererts,96,Xeralfs
Xererts,87,Xererts
Xerepts,50,Xererts
Xererts,97,Xererts
Orthents,55,Xeralfs
Aquerts,644,Aquerts
Aquerts,644,Aquerts
Aquerts,644,Aquerts
Aquerts,644,Aquerts
Aquerts,644,Aquerts
Aquerts,644,Aquerts
Aquerts,644,Aquerts
Xerolls,170,Xerolls
Xerolls,170,Xerolls
Xerolls,93,Xeralfs
Xerolls,99,Xeralfs
Aquerts,92,Aquerts
Psamments,85,Xerolls
Ochrepts,37,Xeralfs
Ochrepts,288,Xeralfs
Ochrepts,288,Xeralfs
Ochrepts,288,Ochrepts
Ochrepts,288,Xeralfs
Ochrepts,288,Xeralfs
Ochrepts,288,Xeralfs
Ochrepts,288,Xeralfs
Ochrepts,288,Xerolls
Ochrepts,288,Xeralfs
Xererts,97,Xeralfs
Aquolls,85,Aquolls
Xerolls,94,Xererts
Xerolls,99,Xeralfs
Xerepts,85,Xeralfs
Xererts,96,Xeralfs
Ochrepts,55,Cryands
Xerolls,930,Xeralfs
Xerolls,930,Xeralfs
Xerolls,930,Xeralfs
Xerolls,930,Xerolls
Xerolls,930,Aquents
Xerolls,930,Xerolls
Xerolls,930,Xerolls
Xerolls,930,Xererts
Xerolls,930,Aquerts
Xerolls,930,Xerolls
Xerepts,100,Xeralfs
Xerepts,100,Xeralfs
Xerolls,198,Xerolls
Xerolls,198,Xeralfs
Aquerts,276,Aquerts
Aquerts,276,Xererts
Aquerts,276,Xererts
Xerolls,88,Xerolls
Ochrepts,129,Xeralfs
Ochrepts,129,Ochrepts
Ochrepts,129,Xeralfs
Aquerts,92,Aquolls
Xeralfs,85,Xerolls
Xerolls,90,Xeralfs
Xerolls,94,Aquolls
Fluvents,71,Xeralfs
Xerolls,94,Xeralfs
Xeralfs,85,Aquolls
Xerolls,255,Xerolls
Xerolls,255,Xerolls
Xerolls,255,Xerolls
Xeralfs,170,Xerolls
Xeralfs,170,Xerolls
Xeralfs,85,Xerolls
Xerepts,140,Xeralfs
Xerepts,140,Xeralfs
Ochrepts,43,Xerolls
Aquolls,176,Xerolls
Aquolls,176,Xerolls
Xerepts,56,Xeralfs
Xerolls,85,Xeralfs
Xerolls,99,Xerults
Aquolls,88,Aquolls
Aquerts,92,Aquents
Xeralfs,158,Xeralfs
Xeralfs,158,Xeralfs
Xeralfs,170,Xeralfs
Xeralfs,170,Xeralfs
Ochrepts,74,Ochrepts
Ochrepts,74,Xeralfs
Xerolls,410,Xerolls
Xerolls,410,Xeralfs
Xerolls,410,Xerolls
Xerolls,410,Xerolls
Xerolls,410,Xeralfs
Aquolls,85,Aquolls
Xerolls,87,Aquerts
Xerepts,50,Xererts
Xerepts,50,Xeralfs
Xerolls,170,Xerolls
Xerolls,170,Xeralfs
Aquerts,552,Aquerts
Aquerts,552,Xeralfs
Aquerts,552,Xeralfs
Aquerts,552,Aquolls
Aquerts,552,Xererts
Aquerts,552,Xererts
Xererts,98,Xererts
Aquerts,368,Aquerts
Aquerts,368,Xererts
Aquerts,368,Aquerts
Aquerts,368,Aqualfs
Xererts,94,Xererts
Xerolls,82,Xeralfs
Xerolls,99,Xeralfs
Xerolls,188,Xeralfs
Xerolls,188,Xeralfs
Xererts,97,Xererts
Xererts,192,Xerolls
Xererts,192,Xeralfs
Xererts,97,Xererts
Xerolls,99,Xeralfs
Xerolls,94,Xerults
Xeralfs,85,Aquerts
Xererts,94,Xererts
Xererts,87,Xeralfs
Xerolls,92,Xerolls
Xeralfs,85,Xeralfs
Aquolls,88,Aquolls
Xerolls,86,Xerolls
Xererts,82,Xererts
Ochrepts,86,Xeralfs
Ochrepts,86,Xerolls
Xerolls,184,Xererts
Xerolls,184,Xerolls
Xererts,96,Xerolls
Aquerts,94,Xeralfs
Xerepts,85,Xeralfs
Xerolls,99,Xerolls
Xerolls,180,Xerolls
Xerolls,180,Xerolls
Xererts,97,Xererts
Aquerts,92,Aquolls
Aquerts,92,Aquolls
Xerepts,55,Xererts
Aquerts,92,Aquolls
Aquerts,98,Xererts
Xererts,97,Xeralfs
Xeralfs,55,Xererts
Xerolls,99,Aquolls
Xererts,96,Xerolls
Xeralfs,50,Xeralfs
Xererts,87,Xeralfs
Xererts,94,Xeralfs
Aquolls,352,Xerults
Aquolls,352,Aquolls
Aquolls,352,Aquolls
Aquolls,352,Xeralfs
Xerolls,95,Xeralfs
Xerolls,99,Aquolls
Xeralfs,95,Xererts
Xerolls,94,Xererts
Xeralfs,360,Xeralfs
Xeralfs,360,Xeralfs
Xeralfs,360,Xeralfs
Xeralfs,360,Xeralfs
Xererts,246,Xerepts
Xererts,246,Xeralfs
Xererts,246,Xererts
Xeralfs,85,Xeralfs
Xeralfs,90,Xeralfs
Xeralfs,90,Xeralfs
Xererts,192,Xeralfs
Xererts,192,Xeralfs
Xererts,92,Xeralfs
Orthents,50,Xeralfs
Xeralfs,90,Xeralfs
Xeralfs,85,Aquolls
Aquerts,184,Aquolls
Aquerts,184,Aquolls
Xeralfs,85,Xeralfs
Xerepts,55,Xeralfs
Xerolls,80,Xerolls
Xeralfs,100,Xeralfs
Xeralfs,100,Xeralfs
Xerepts,56,Xererts
Aquerts,552,Aquerts
Aquerts,552,Aquerts
Aquerts,552,Aquerts
Aquerts,552,Xererts
Aquerts,552,Aquerts
Aquerts,552,Xererts
Xerolls,450,Aquolls
Xerolls,450,Xeralfs
Xerolls,450,Xeralfs
Xerolls,450,Orthents
Xerolls,450,Xerolls
Xerolls,64,Ochrepts
Xerolls,97,Xeralfs
Xeralfs,45,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,1106,Xeralfs
Xeralfs,90,Xeralfs
Xeralfs,85,Aquolls
Xeralfs,85,Xeralfs
Ochrepts,74,Xeralfs
Ochrepts,74,Xerults
Xerolls,94,Xerolls
Xerolls,80,Xerolls
Xererts,98,Xererts
Ochrepts,65,Xeralfs
Xeralfs,91,Xerolls
Xerepts,350,Xerolls
Xerepts,350,Xeralfs
Xerepts,350,Xeralfs
Xerepts,350,Xeralfs
Xerepts,350,Xerolls
Aquerts,92,Aquolls
Aquerts,92,Aquerts
Xerolls,94,Xeralfs
Xerolls,94,Xerults
Xeralfs,180,Xeralfs
Xeralfs,180,Xererts
Xerolls,92,Xeralfs
Xeralfs,85,Xerolls
Xerolls,93,Xerolls
Xeralfs,95,Xererts
Aquerts,276,Aquerts
Aquerts,276,Aquolls
Aquerts,276,Xererts
Fluvents,85,Xeralfs
Xererts,82,Xererts
Xeralfs,85,Xeralfs
Xererts,96,Xerolls
Xeralfs,50,Xerolls
Xererts,95,Aquerts
Xerolls,88,Aquerts
Xererts,87,Xerolls
Xererts,97,Xererts
Xererts,384,Aquerts
Xererts,384,Aquents
Xererts,384,Aquerts
Xererts,384,Aquolls
Xerolls,86,Xerults
Ochrepts,55,Xeralfs
Xeralfs,85,Aquolls
Aquolls,88,Aquolls
